,bhk,locality,sqft,price_per_sqft,bath,Price_Lakhs,Build_year,Age
1892,3,Wakad,1323,6462,3.0,85.5,2026.0,5.0
1893,1,Wakad,564,6205,1.0,35.0,2022.0,1.0
1894,2,Wakad,823,6075,2.0,50.0,2022.0,1.0
1900,2,Tathawade,594,9764,,57.99,2023.0,2.0
1901,2,Tathawade,891,5274,2.0,47.0,2026.0,5.0
1902,3,Baner,1109,9648,,107.0,2025.0,4.0
1903,2,Baner,670,9253,,62.0,2025.0,4.0
1904,3,Baner,989,9605,,95.0,2025.0,4.0
1905,3,Baner,890,9550,,85.0,2025.0,4.0
1906,2,Baner,690,9202,,63.5,2025.0,4.0
1907,2,Baner,763,9436,,72.0,2025.0,4.0
1908,2,Baner,844,9123,,77.0,2025.0,4.0
1909,2,Baner,611,9165,2.0,56.0,2025.0,4.0
1912,3,Kharadi,853,12005,,102.0,2025.0,4.0
1913,2,Kharadi,662,12017,,79.43,2025.0,4.0
1918,2,Wagholi,661,6573,,43.38,2018.0,-3.0
1919,2,Wagholi,659,6617,,43.54,2018.0,-3.0
1921,3,Hinjewadi,1138,9123,,103.0,2018.0,-3.0
1922,2,Ravet,670,7782,,52.13,2023.0,2.0
1923,2,Ravet,707,7727,,54.63,2023.0,2.0
1924,2,Ravet,674,7775,,52.4,2023.0,2.0
1925,2,Ravet,730,7696,,56.18,2023.0,2.0
1926,2,Ravet,664,7791,,51.73,2023.0,2.0
1927,3,Viman Nagar,1550,8709,3.0,135.0,2013.0,-8.0
1928,1,Viman Nagar,615,8130,1.0,50.0,2018.0,-3.0
1929,2,Viman Nagar,1000,6200,2.0,62.0,2018.0,-3.0
1930,2,Viman Nagar,1050,7809,2.0,82.0,2012.0,-9.0
1931,2,Viman Nagar,1130,6194,2.0,70.0,2006.0,-15.0
1932,2,Ravet,696,7743,,53.89,2023.0,2.0
1933,2,Ravet,667,7786,,51.93,2023.0,2.0
1934,3,Ravet,984,7750,,76.26,2023.0,2.0
1935,2,Ravet,850,7861,,66.82,2023.0,2.0
1936,2,Ravet,847,7864,,66.61,2023.0,2.0
1937,3,Ravet,988,7747,,76.54,2023.0,2.0
1938,2,Ravet,724,7704,,55.78,2023.0,2.0
